text,label
"Please upload a clearer photo of your ID.",action_required
"The system detected missing information in your profile; fill it in to continue.",action_required
"The application period opens next week.",informational
"A copy of the confirmation has been sent to your email address.",informational
"Your subscription will renew automatically next month.",informational
"Your booking is confirmed.",informational
"Please provide clarification on the highlighted question.",action_required
"Your message was forwarded to the relevant department.",informational
"The deadline for this process is June 15.",informational
"To avoid interruption of service, verify your account before the end of the day.",action_required
"Your account requires additional verification.",action_required
"Your application cannot be reviewed until you upload the missing document.",action_required
"You may complete the survey after using the service.",optional_action
"Your password was changed successfully.",informational
"Please select one of the available options to complete the setup.",action_required
"You are welcome to attach supporting documents, although they are not required.",optional_action
"The invoice remains unpaid and requires your attention.",action_required
"You might want to compare the available plans before deciding.",optional_action
"Your account remains active.",informational
"The ticket has been assigned to a support specialist.",informational
"You may add more details to improve the quality of the response.",optional_action
"Please confirm your attendance so we can reserve your place.",action_required
"You can mark this message as important if you want to find it later.",optional_action
"It might be useful to save a copy of this receipt.",optional_action
"Your response is required for us to proceed with the next step.",action_required
"If the date is inconvenient, you can request another time.",optional_action
"Access will be removed unless you complete identity verification.",action_required
"The ticket cannot be closed until you confirm that the issue is resolved.",action_required
"The document was returned for correction; update the highlighted sections and resubmit it.",action_required
"The selected plan includes access to standard support.",informational
"If desired, you can add a note for your own reference.",optional_action
"Your profile changes have been saved.",informational
"You may choose to share feedback about your experience.",optional_action
"You can review the privacy settings whenever you have time.",optional_action
"The results were published on the platform this morning.",informational
"Your invoice has been issued.",informational
"You can turn on reminders, but the task will remain available without them.",optional_action
"We are checking the information you provided.",informational
"You may retry the upload if you want a higher-quality preview.",optional_action
"The form was saved as a draft and still needs to be submitted.",action_required
"You must acknowledge the updated policy before continuing.",action_required
"The package arrived at the local distribution center.",informational
"You may want to review your notification settings.",optional_action
"It might be worth checking whether the information is still current.",optional_action
"Your enrollment is incomplete until you accept the offer.",action_required
"Submit the final version of the report by Monday morning.",action_required
"Consider saving your progress before leaving the page.",optional_action
"The payment failed; update your billing details to keep the subscription active.",action_required
"The old version is still available if you would rather use it.",optional_action
"Your previous session ended automatically after a period of inactivity.",informational
"You can skip this step and return to it later.",optional_action
"You can contact support if you need help understanding the message.",optional_action
"There is an option to receive weekly summaries by email.",optional_action
"The deadline has passed, but you still need to submit the missing file.",action_required
"The update includes performance improvements and bug fixes.",informational
"You could review the examples if the instructions are unclear.",optional_action
"Consider checking the guide before starting the setup.",optional_action
"Your request has been received and is waiting for review.",informational
"Your order is currently being prepared for shipment.",informational
"The form was submitted successfully.",informational
"It is possible to change your preferences later.",optional_action
"Consider adding a short description to make the item easier to identify.",optional_action
"If you prefer, you can add a backup email address.",optional_action
"Feel free to update your profile picture at any time.",optional_action
"We received your documents yesterday.",informational
"Confirm your shipping address to prevent delays.",action_required
"The request was closed because no further changes were needed.",informational
"You can enable two-factor authentication for additional security.",optional_action
"You are expected to complete the onboarding checklist before your first day.",action_required
"Further processing is blocked until the consent form is completed.",action_required
"The document has already been approved.",informational
"Your data export is being generated.",informational
"The new settings will take effect tomorrow.",informational
"The file upload was completed.",informational
"Action is needed to restore full access to your account.",action_required
"Please choose a new appointment time because the original slot is no longer available.",action_required
"The report is now available in your account.",informational
"Your account was created on April 12.",informational
"If you want, you can personalize the dashboard layout.",optional_action
"The system will be unavailable tonight due to scheduled maintenance.",informational
"The feature is currently available to all users.",informational
"Please complete the security check before accessing this page.",action_required
"The attached form needs your signature before it can be submitted.",action_required
"You may ignore this recommendation if it is not relevant to you.",optional_action
"You could invite additional team members from the settings page.",optional_action
"Before your booking is confirmed, you must provide a valid phone number.",action_required
"You need to sign the agreement before we can continue with the request.",action_required
"Please reply with your preferred delivery date.",action_required
"You may want to read the full terms before accepting them.",optional_action
"Your password has expired and must be changed before your next login.",action_required
"The meeting has been moved to a different room.",informational
"For a better experience, consider enabling browser notifications.",optional_action
"We cannot issue the refund until you send the required bank details.",action_required
"The payment was processed successfully.",informational
"Please review the changes and approve them in the system.",action_required
"Respond to this notice within seven days to prevent automatic cancellation.",action_required
"Your application is still under review.",informational
"It may be helpful to review the summary before the meeting.",optional_action
"The request is pending your approval.",action_required
"If needed, you can download the report as a PDF.",optional_action
